s_user_note,Empty String (FAIL),s_equation,,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Lack of equal sign (FAIL),s_equation,1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets L (FAIL),s_equation,(1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets R (FAIL),s_equation,1(,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Unbalanced brackets L (FAIL),s_equation,((1),x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Two equal signs (FAIL),s_equation,1=1=1,x_fail,1,as_string_token,0,ast_token,0,ast_minimal_node,1,st_minimal_node,=,2,0,0,0,0,s_equation_decoded,,END,
s_user_note,Balanced bracket (PASS),s_equation,1=((((((1)))))),x_fail,0,as_string_token,15,1,=,(,(,(,(,(,(,1,),),),),),),ast_token,15,st_token,1,0,0,5,0,st_token,=,2,0,0,0,st_token,(,3,1,10,0,st_token,(,3,2,10,0,st_token,(,3,3,10,0,st_token,(,3,4,10,0,st_token,(,3,5,10,0,st_token,(,3,6,10,0,st_token,1,0,6,5,0,st_token,),4,6,10,0,st_token,),4,5,10,0,st_token,),4,4,10,0,st_token,),4,3,10,0,st_token,),4,2,10,0,st_token,),4,1,10,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,1,0,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,1=1,END,
s_user_note,Two Number Equation (PASS),s_equation,1=1,x_fail,0,as_string_token,3,1,=,1,ast_token,3,st_token,1,0,0,5,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,1,0,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,1=1,END,
s_user_note,Floating Point Equation (PASS),s_equation,3/2=1.5000000000,x_fail,0,as_string_token,5,3,/,2,=,1.5000000000,ast_token,5,st_token,3,0,0,5,0,st_token,/,2,0,2,0,st_token,2,0,0,5,0,st_token,=,2,0,0,0,st_token,1.5000000000,0,0,5,0,ast_minimal_node,5,st_minimal_node,=,2,0,0,0,0,st_minimal_node,/,2,0,0,0,0,st_minimal_node,1.5000000000,0,0,0,0,0,st_minimal_node,3,0,0,0,0,1,st_minimal_node,2,0,0,0,0,1,s_equation_decoded,(3/2)=1.5000000000,END,
s_user_note,Three Number Equation (PASS),s_equation,5=2+3,x_fail,0,as_string_token,5,5,=,2,+,3,ast_token,5,st_token,5,0,0,5,0,st_token,=,2,0,0,0,st_token,2,0,0,5,0,st_token,+,2,0,3,0,st_token,3,0,0,5,0,ast_minimal_node,5,st_minimal_node,=,2,0,0,0,0,st_minimal_node,5,0,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,2,0,0,0,0,2,st_minimal_node,3,0,0,0,0,2,s_equation_decoded,5=(2+3),END,
s_user_note,Four Number Equation (PASS),s_equation,A+B-C=100,x_fail,0,as_string_token,7,A,+,B,-,C,=,100,ast_token,7,st_token,A,1,0,4,0,st_token,+,2,0,3,0,st_token,B,1,0,4,0,st_token,-,2,0,3,0,st_token,C,1,0,4,0,st_token,=,2,0,0,0,st_token,100,0,0,5,0,ast_minimal_node,7,st_minimal_node,=,2,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,100,0,0,0,0,0,st_minimal_node,A,1,0,0,0,1,st_minimal_node,-,2,0,0,0,1,st_minimal_node,B,1,0,0,0,4,st_minimal_node,C,1,0,0,0,4,s_equation_decoded,(A+(B-C))=100,END,
s_user_note,One Symbol Equation (PASS),s_equation,X=1,x_fail,0,as_string_token,3,X,=,1,ast_token,3,st_token,X,1,0,4,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,ast_minimal_node,3,st_minimal_node,=,2,0,0,0,0,st_minimal_node,X,1,0,0,0,0,st_minimal_node,1,0,0,0,0,0,s_equation_decoded,X=1,END,
s_user_note,Three Symbol Equation (PASS),s_equation,3*X=(5*Y)+C,x_fail,0,as_string_token,11,3,*,X,=,(,5,*,Y,),+,C,ast_token,11,st_token,3,0,0,5,0,st_token,*,2,0,1,0,st_token,X,1,0,4,0,st_token,=,2,0,0,0,st_token,(,3,1,10,0,st_token,5,0,1,5,0,st_token,*,2,1,1,0,st_token,Y,1,1,4,0,st_token,),4,1,10,0,st_token,+,2,0,3,0,st_token,C,1,0,4,0,ast_minimal_node,9,st_minimal_node,=,2,0,0,0,0,st_minimal_node,*,2,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,3,0,0,0,0,1,st_minimal_node,X,1,0,0,0,1,st_minimal_node,*,2,0,0,0,2,st_minimal_node,C,1,0,0,0,2,st_minimal_node,5,0,0,0,0,5,st_minimal_node,Y,1,0,0,0,5,s_equation_decoded,(3*X)=((5*Y)+C),END,
s_user_note,Long Symbol Equation (PASS),s_equation,Pippo=Pluto+self_awareness,x_fail,0,as_string_token,5,Pippo,=,Pluto,+,self_awareness,ast_token,5,st_token,Pippo,1,0,4,0,st_token,=,2,0,0,0,st_token,Pluto,1,0,4,0,st_token,+,2,0,3,0,st_token,self_awareness,1,0,4,0,ast_minimal_node,5,st_minimal_node,=,2,0,0,0,0,st_minimal_node,Pippo,1,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,Pluto,1,0,0,0,2,st_minimal_node,self_awareness,1,0,0,0,2,s_equation_decoded,Pippo=(Pluto+self_awareness),END,
s_user_note,Sum aggregator (PASS),s_equation,3=1+1+1,x_fail,0,as_string_token,7,3,=,1,+,1,+,1,ast_token,7,st_token,3,0,0,5,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,st_token,+,2,0,3,0,st_token,1,0,0,5,0,st_token,+,2,0,3,0,st_token,1,0,0,5,0,ast_minimal_node,7,st_minimal_node,=,2,0,0,0,0,st_minimal_node,3,0,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,1,0,0,0,0,2,st_minimal_node,+,2,0,0,0,2,st_minimal_node,1,0,0,0,0,4,st_minimal_node,1,0,0,0,0,4,s_equation_decoded,3=(1+(1+1)),END,
s_user_note,Deep sum aggregator (PASS),s_equation,28=1+2+3+4+5+6+7,x_fail,0,as_string_token,15,28,=,1,+,2,+,3,+,4,+,5,+,6,+,7,ast_token,15,st_token,28,0,0,5,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,st_token,+,2,0,3,0,st_token,2,0,0,5,0,st_token,+,2,0,3,0,st_token,3,0,0,5,0,st_token,+,2,0,3,0,st_token,4,0,0,5,0,st_token,+,2,0,3,0,st_token,5,0,0,5,0,st_token,+,2,0,3,0,st_token,6,0,0,5,0,st_token,+,2,0,3,0,st_token,7,0,0,5,0,ast_minimal_node,15,st_minimal_node,=,2,0,0,0,0,st_minimal_node,28,0,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,1,0,0,0,0,2,st_minimal_node,+,2,0,0,0,2,st_minimal_node,2,0,0,0,0,4,st_minimal_node,+,2,0,0,0,4,st_minimal_node,3,0,0,0,0,6,st_minimal_node,+,2,0,0,0,6,st_minimal_node,4,0,0,0,0,8,st_minimal_node,+,2,0,0,0,8,st_minimal_node,5,0,0,0,0,10,st_minimal_node,+,2,0,0,0,10,st_minimal_node,6,0,0,0,0,12,st_minimal_node,7,0,0,0,0,12,s_equation_decoded,28=(1+(2+(3+(4+(5+(6+7)))))),END,
s_user_note,Deep diff with unary(PASS),s_equation,-28=-1-2-3-4-5-6-7,x_fail,0,as_string_token,15,28,=,1,-,2,-,3,-,4,-,5,-,6,-,7,ast_token,15,st_token,28,0,0,5,1,st_token,=,2,0,0,0,st_token,1,0,0,5,1,st_token,-,2,0,3,0,st_token,2,0,0,5,0,st_token,-,2,0,3,0,st_token,3,0,0,5,0,st_token,-,2,0,3,0,st_token,4,0,0,5,0,st_token,-,2,0,3,0,st_token,5,0,0,5,0,st_token,-,2,0,3,0,st_token,6,0,0,5,0,st_token,-,2,0,3,0,st_token,7,0,0,5,0,ast_minimal_node,15,st_minimal_node,=,2,0,0,0,0,st_minimal_node,28,0,0,0,1,0,st_minimal_node,-,2,0,0,0,0,st_minimal_node,1,0,0,0,1,2,st_minimal_node,-,2,0,0,0,2,st_minimal_node,2,0,0,0,0,4,st_minimal_node,-,2,0,0,0,4,st_minimal_node,3,0,0,0,0,6,st_minimal_node,-,2,0,0,0,6,st_minimal_node,4,0,0,0,0,8,st_minimal_node,-,2,0,0,0,8,st_minimal_node,5,0,0,0,0,10,st_minimal_node,-,2,0,0,0,10,st_minimal_node,6,0,0,0,0,12,st_minimal_node,7,0,0,0,0,12,s_equation_decoded,-28=(-1-(2-(3-(4-(5-(6-7)))))),END,
s_user_note,Deep sum diff aggregator (PASS),s_equation,4=1-2+3-4+5-6+7,x_fail,0,as_string_token,15,4,=,1,-,2,+,3,-,4,+,5,-,6,+,7,ast_token,15,st_token,4,0,0,5,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,st_token,-,2,0,3,0,st_token,2,0,0,5,0,st_token,+,2,0,3,0,st_token,3,0,0,5,0,st_token,-,2,0,3,0,st_token,4,0,0,5,0,st_token,+,2,0,3,0,st_token,5,0,0,5,0,st_token,-,2,0,3,0,st_token,6,0,0,5,0,st_token,+,2,0,3,0,st_token,7,0,0,5,0,ast_minimal_node,15,st_minimal_node,=,2,0,0,0,0,st_minimal_node,4,0,0,0,0,0,st_minimal_node,-,2,0,0,0,0,st_minimal_node,1,0,0,0,1,2,st_minimal_node,+,2,0,0,0,2,st_minimal_node,2,0,0,0,0,4,st_minimal_node,-,2,0,0,0,4,st_minimal_node,3,0,0,0,0,6,st_minimal_node,+,2,0,0,0,6,st_minimal_node,4,0,0,0,0,8,st_minimal_node,-,2,0,0,0,8,st_minimal_node,5,0,0,0,0,10,st_minimal_node,+,2,0,0,0,10,st_minimal_node,6,0,0,0,0,12,st_minimal_node,7,0,0,0,0,12,s_equation_decoded,4=(1-(2+(3-(4+(5-(6+7)))))),END,
s_user_note,Forced deep sum diff aggregator (PASS),s_equation,4=((((((+1-2)+3)-4)+5)-6)+7),x_fail,0,as_string_token,27,4,=,(,(,(,(,(,(,1,-,2,),+,3,),-,4,),+,5,),-,6,),+,7,),ast_token,27,st_token,4,0,0,5,0,st_token,=,2,0,0,0,st_token,(,3,1,10,0,st_token,(,3,2,10,0,st_token,(,3,3,10,0,st_token,(,3,4,10,0,st_token,(,3,5,10,0,st_token,(,3,6,10,0,st_token,1,0,6,5,0,st_token,-,2,6,3,0,st_token,2,0,6,5,0,st_token,),4,6,10,0,st_token,+,2,5,3,0,st_token,3,0,5,5,0,st_token,),4,5,10,0,st_token,-,2,4,3,0,st_token,4,0,4,5,0,st_token,),4,4,10,0,st_token,+,2,3,3,0,st_token,5,0,3,5,0,st_token,),4,3,10,0,st_token,-,2,2,3,0,st_token,6,0,2,5,0,st_token,),4,2,10,0,st_token,+,2,1,3,0,st_token,7,0,1,5,0,st_token,),4,1,10,0,ast_minimal_node,15,st_minimal_node,=,2,0,0,0,0,st_minimal_node,4,0,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,-,2,0,0,0,2,st_minimal_node,7,0,0,0,0,2,st_minimal_node,+,2,0,0,0,3,st_minimal_node,6,0,0,0,0,3,st_minimal_node,-,2,0,0,0,5,st_minimal_node,5,0,0,0,0,5,st_minimal_node,+,2,0,0,0,7,st_minimal_node,4,0,0,0,0,7,st_minimal_node,-,2,0,0,0,9,st_minimal_node,3,0,0,0,0,9,st_minimal_node,1,0,0,0,0,11,st_minimal_node,2,0,0,0,0,11,s_equation_decoded,4=((((((1-2)+3)-4)+5)-6)+7),END,
s_user_note,Forced deep sum diff aggregator (PASS),s_equation,4=(+1-(2+(3-(4+(5-(6+(7))))))),x_fail,0,as_string_token,29,4,=,(,1,-,(,2,+,(,3,-,(,4,+,(,5,-,(,6,+,(,7,),),),),),),),ast_token,29,st_token,4,0,0,5,0,st_token,=,2,0,0,0,st_token,(,3,1,10,0,st_token,1,0,1,5,0,st_token,-,2,1,3,0,st_token,(,3,2,10,0,st_token,2,0,2,5,0,st_token,+,2,2,3,0,st_token,(,3,3,10,0,st_token,3,0,3,5,0,st_token,-,2,3,3,0,st_token,(,3,4,10,0,st_token,4,0,4,5,0,st_token,+,2,4,3,0,st_token,(,3,5,10,0,st_token,5,0,5,5,0,st_token,-,2,5,3,0,st_token,(,3,6,10,0,st_token,6,0,6,5,0,st_token,+,2,6,3,0,st_token,(,3,7,10,0,st_token,7,0,7,5,0,st_token,),4,7,10,0,st_token,),4,6,10,0,st_token,),4,5,10,0,st_token,),4,4,10,0,st_token,),4,3,10,0,st_token,),4,2,10,0,st_token,),4,1,10,0,ast_minimal_node,15,st_minimal_node,=,2,0,0,0,0,st_minimal_node,4,0,0,0,0,0,st_minimal_node,-,2,0,0,0,0,st_minimal_node,1,0,0,0,1,2,st_minimal_node,+,2,0,0,0,2,st_minimal_node,2,0,0,0,0,4,st_minimal_node,-,2,0,0,0,4,st_minimal_node,3,0,0,0,0,6,st_minimal_node,+,2,0,0,0,6,st_minimal_node,4,0,0,0,0,8,st_minimal_node,-,2,0,0,0,8,st_minimal_node,5,0,0,0,0,10,st_minimal_node,+,2,0,0,0,10,st_minimal_node,6,0,0,0,0,12,st_minimal_node,7,0,0,0,0,12,s_equation_decoded,4=(1-(2+(3-(4+(5-(6+7)))))),END,
s_user_note,Mix operators of different priority,s_equation,Y=3*4-5+6,x_fail,0,as_string_token,9,Y,=,3,*,4,-,5,+,6,ast_token,9,st_token,Y,1,0,5,0,st_token,=,2,0,0,0,st_token,3,0,0,6,0,st_token,*,2,0,1,0,st_token,4,0,0,6,0,st_token,-,2,0,3,0,st_token,5,0,0,6,0,st_token,+,2,0,4,0,st_token,6,0,0,6,0,ast_minimal_node,9,st_minimal_node,=,2,0,0,0,0,st_minimal_node,Y,1,0,5,0,0,st_minimal_node,+,2,0,4,0,0,st_minimal_node,-,2,0,3,0,2,st_minimal_node,*,2,0,1,0,3,st_minimal_node,3,0,0,6,0,4,st_minimal_node,4,0,0,6,0,4,st_minimal_node,5,0,0,6,0,3,st_minimal_node,6,0,0,6,0,2,s_equation_decoded,Y=(((3*4)-5)+6),END,
s_user_note,Complex sum aggregator (PASS),s_equation,Y=1+(3*X)+2+(5*sephiroth +100 +101)+4,x_fail,0,as_string_token,23,Y,=,1,+,(,3,*,X,),+,2,+,(,5,*,sephiroth,+,100,+,101,),+,4,ast_token,23,st_token,Y,1,0,4,0,st_token,=,2,0,0,0,st_token,1,0,0,5,0,st_token,+,2,0,3,0,st_token,(,3,1,10,0,st_token,3,0,1,5,0,st_token,*,2,1,1,0,st_token,X,1,1,4,0,st_token,),4,1,10,0,st_token,+,2,0,3,0,st_token,2,0,0,5,0,st_token,+,2,0,3,0,st_token,(,3,1,10,0,st_token,5,0,1,5,0,st_token,*,2,1,1,0,st_token,sephiroth,1,1,4,0,st_token,+,2,1,3,0,st_token,100,0,1,5,0,st_token,+,2,1,3,0,st_token,101,0,1,5,0,st_token,),4,1,10,0,st_token,+,2,0,3,0,st_token,4,0,0,5,0,ast_minimal_node,18,st_minimal_node,=,2,0,0,0,0,st_minimal_node,Y,1,0,0,0,0,st_minimal_node,+,2,0,0,0,0,st_minimal_node,1,0,0,0,0,2,st_minimal_node,*,2,0,0,0,2,st_minimal_node,*,2,0,0,0,4,st_minimal_node,+,2,0,0,0,4,st_minimal_node,3,0,0,0,0,5,st_minimal_node,X,1,0,0,0,5,st_minimal_node,2,0,0,0,0,6,st_minimal_node,+,2,0,0,0,6,st_minimal_node,+,2,0,0,0,10,st_minimal_node,+,2,0,0,0,10,st_minimal_node,5,0,0,0,0,11,st_minimal_node,sephiroth,1,0,0,0,11,st_minimal_node,5,0,0,0,0,6,st_minimal_node,+,0,0,0,0,10,st_minimal_node,101,0,0,0,0,11,s_equation_decoded,,END,
